Jäällä [MASK] avaa aina hauskoja ja erikoisia näkökulmia kaupunkiin .	kävely
Tehtävän [MASK] edellyttää tohtorin tutkintoa ja menestyksekästä tieteellistä työskentelyä .	saaminen
Mitalin myöntämisestä päättävän lautakunnan perustelu mitalin myöntämiselle oli , että [MASK] on huomattavalla tavalla toiminut Turun yliopiston henkisten päämäärien hyväksi ja aineellisen vaurastumisen edistämiseksi .	Vuorio
[MASK] on aiemmin toiminut mm. Turun yliopiston molekulaarisen biologian professorina 1989 - 2003 , jolloin hänestä tuli Turun yliopiston kansleri .	Vuorio
[MASK] on toiminut myös Suomen Akatemian terveyden tutkimuksen toimikunnan puheenjohtajana ja tutkimuseettisen neuvottelukunnan puheenjohtajana .	Hän
[MASK] toimii mm. Euroopan Molekyylibiologian Laboratorion ( EMBL ) hallintoneuvoston puheenjohtajana .	Hän
Turun Yliopistosäätiön hallituksen jäsenenä [MASK] Vuorio toimi vuodesta 2003 lähtien aina kuluvaan kevääseen saakka .	Eero
Sitä ennen [MASK] on toiminut 1990-luvun alusta lähtien säätiön tieteellisenä asiantuntijana .	Vuorio
Säätiön hallituksen uudeksi jäseneksi [MASK] valitsi vararehtori Tapio Reposen .	valtuuskunta
Turun kauppakamarin tytäryhtiö Turun Viestintäkamari [MASK] lahjoitti tiistaina 27.4. Turun yliopiston varainhankintaan 100 000 euroa .	Oy
[MASK] antaa 2,5-kertaisen sijoituksen saatujen lahjoitusten päälle : yksi euro on 3,5 euroa yliopiston hyväksi .	Valtio
Viestintäkamarin [MASK] tuo siis 350 000 euroa yliopiston pääomaan .	lahjoitus
Ylemmän ammattikorkeakoulututkinnon huono [MASK] vaikeuttaa tutkinnon suorittaneiden etenemistä uralla .	tunnettuus
– Ylemmän AMK-tutkinnon [MASK] joutuvat työnhakutilanteissa usein selittämään tutkinnon laajuutta , sisältöä ja vastaavuutta maisterin tutkintoon nähden , koulutuksen tunnettuutta selvittäneet Loretta Galli ja Sakari Ahola Turun yliopiston koulutussosiologian tutkimuskeskuksesta toteavat .	suorittaneet
[MASK] selviävät keskuksen juuri ilmestyneestä julkaisusta Elinikäiset oppijat lähikuvassa – Kokemuksia ja näkemyksiä ylemmistä ammattikorkeakoulututkinnoista .	Tulokset
Vaikka jatkotutkintokokeilut alkoivat jo vuonna 2002 , [MASK] eivät vielä näytä tietävän millaisesta ja minkä tasoisesta koulutuksesta on kyse .	kaikki
Ylempi [MASK] antaa virkoihin saman kelpoisuuden kuin maisterin tutkinto , mutta yksityisellä sektorilla tilanne on mutkikkaampi .	AMK-tutkinto
Huonon tunnettuuden lisäksi omaleimaiset [MASK] aiheuttavat ongelmia .	tutkintonimikkeet
[MASK] eivät vertaudu yliopistojen tuttuihin kandidaattiin ja maisteriin .	Ne
Osin jopa harhaanjohtavat [MASK] hankaloittavat työnhakua , kun työnantajalle pitää juurta jaksaen selittää , mistä on kyse .	nimikkeet
Työnhakuun liittyvistä ongelmista ja huonosta tunnettuudesta huolimatta suurin [MASK] Gallin ja Aholan haastattelemista ylemmän AMK-tutkinnon suorittaneista oli kuitenkin onnistunut etenemään urallaan .	osa
[MASK] oli myös vastannut haastateltujen odotuksia .	Koulutus
Samat [MASK] toistuivat myös kehittämisehdotuksissa , mikä kertoo uuden tutkinnon asiakaskunnan erilaisista koulutuskokemuksista ja -odotuksista sekä koulutusohjelmien tasoeroista : jossain on onnistuttu hyvin , toisaalla on vielä kehitettävää .	aiheet
Kaikki [MASK] olivat sitä mieltä , että ylemmästä AMK-tutkinnosta tulisi tiedottaa enemmän työelämän suuntaan .	haastatellut
– [MASK] tulee varmasti helpottumaan myös itsellään tutkinnon aseman vakiintuessa , kun yhä useampi työnantaja tutustuu uuteen koulutusmuotoon , tutkijat arvioivat .	Tunnettuusongelma
Turun kauppakorkeakoulun laskentatoimen [MASK] järjesti yhteistyössä PricewaterhouseCoopers Oy:n kanssa jo perinteeksi muodostuneen Talousfooruminsa 22.4 .	laitos
- [MASK] on päättänyt , että vuoteen 2020 mennessä 20 prosenttia Euroopan sähköstä pitää olla tuotettu uusiutuvilla energiamuodoilla .	EU
Esimerkiksi Suomen [MASK] tukee hanketta siten , että kuka tahansa , joka tekee tuulivoimaa ja syöttää sitä valtion verkkoon , saa yli kaksinkertaisen hinnan verrattuna normaalisti tuotettuun sähköön , Routila kertoi .	valtio
Suomalainen Lääkäriseura [MASK] on myöntänyt Lääketieteen opettajan Duodecim-palkinnon professori , LKT Pekka Käävälle .	Duodecim
[MASK] työskentelee Turun yliopistossa lastentautiopin opettajana ja lääketieteellisen koulutuksen tutkimus- ja kehittämisyksikön johtajana .	Hän
[MASK] Kääpä on osallistunut monipuolisesti koulutuksen ja oppimisen laadun kehittämiseen .	Pekka
Hänen [MASK] koulutuksen laadun kehittämiseen on johtanut myös Korkeakoulujen arviointineuvoston Turun yliopiston lääketieteelliselle tiedekunnalle myöntämään laatuyksikkö 2010–2012 -nimitykseen .	panostuksensa
[MASK] toimii Lääketieteen koulutuksen yhdistyksen puheenjohtajana ja on lisäksi yhteistyökumppani monissa kansainvälisissä lääkärikoulutukseen liittyvissä tieteellisissä verkostoissa .	Kääpä
Suomalainen Lääkäriseura [MASK] perusti vuonna 2003 Lääketieteen opettajan Duodecim-palkinnon , jonka tarkoituksena on lääketieteen opetuksen arvostuksen lisääminen .	Duodecim
– Uuden yliopistolain myötä [MASK] ovat saaneet paljon huomiota julkisuudessa .	yliopistot
[MASK] Emma Vironmäki ja Leena Jokinen esittelivät tilaisuudessa , mitä odotuksia yliopistojen yhteiskunnalliseen vuorovaikutukseen kohdistuu heidän tekemänsä selvityksen valossa .	Tutkijat
Turun yliopiston tulevaisuuden [MASK] julkaisi vuonna 2009 Vironmäen ja Jokisen kirjoittaman raportin Uusi yliopisto ja aluetehtävä .	tutkimuskeskus
Raporttia varteen [MASK] ja Vironmäki kutsuivat 25 eri tahoja edustavaa henkilöä keskustelemaan yliopistojen yhteiskunnallisesta vuorovaikutuksesta .	Jokinen
[MASK] totesi , että yliopistot liian helposti viestivät organisaatiorakenteestaan käsin .	Vironmäki
– Tietoa ja yhteistyömahdollisuuksia etsivät [MASK] kuitenkin lähestyvät aihetta tutkimusongelmittain .	ihmiset
Vararehtori [MASK] Lönnberg nosti kommenttipuheenvuorossaan esiin aluetehtävän kansainvälisen ulottuvuuden .	Harri
– Nykyajan maailmassa [MASK] pärjäävät , jos ne pystyvät kilpailemaan globaalisti .	alueet
[MASK] ja yritysten pitäisi kehittää Eurooppa-osaamistaan ja globaalia osaamistaan .	Yliopistojen
[MASK] työskentelee kauppakorkeakoulun BID Innovaatiot ja yrityskehitys -yksikössä , joka on keskeinen toimija Turku Innovation Platformissa ( TIP ) .	Paasio
Kansainvälinen [MASK] koostuu TUCSin ja Kungliga Tekniska högskolanin tohtoriopiskelijoista , Paasio kertoi .	osallistujajoukko
[MASK] tutustuivat yliopistoon	Lukiolaiset
Näiden lisäksi tiedekuntien [MASK] järjestivät omia esittelytilaisuuksiaan päivän aikana ja lukiolaisten oli mahdollista seurata joidenkin oppiaineiden opetusta .	oppiaineet
[MASK] kuuntelivat esittelyjä oman valintansa mukaan .	Lukiolaiset
Opetusministeriön [MASK] ylioppilastutkinnon suuremmasta painotuksesta korkeakouluihin valittaessa ei saanut lukiolaisten keskuudessa kovin vahvaa kannatusta .	ehdotus
Klassikon [MASK] Janne Talvitie ja Matti Juhanoja harkitsevat matemaattis-luonnontieteelliseen tiedekuntaan hakemista .	lukiolaiset
Toisaalta esimerkiksi Luostarinvuoren [MASK] ajattelivat , että valintakokeiden tarpeellisuus riippuu siitä mitä menee opiskelemaan .	lukiolaiset
Luostarinvuoren [MASK] pohtivat myös , että oli valintakokeita tai ei , opiskelupaikkoihin liittyvästä rahastuksesta ei päästä eroon .	lukiolaiset
Turun [MASK] kasvatti hakijamääräänsä	yliopisto
Turun [MASK] ja Turun kauppakorkeakoulu yhdistyivät 1.1.2010 .	yliopisto
Uusi , entistäkin monitieteisempi Turun [MASK] selvästi kiinnostaa opiskelupaikkana .	yliopisto
– Esimerkiksi matemaattis-luonnontieteellinen [MASK] on panostanut opiskelu- ja uramahdollisuuksista kertomiseen muun muassa Luonnontieteet tutuksi -verkkosivuston avulla .	tiedekunta
[MASK] tiedekunnan kaikkiin hakukohteisiin kasvoi tasaisesti , opintohallintopäällikkö Petri Sjöblom sanoo .	Hakijamäärä
Uusien ylioppilaiden [MASK] hakijoista selviää toukokuun lopussa ja hyväksyttyjen määrä pääsykokeiden jälkeen heinäkuun lopussa .	määrä
[MASK] pystyvät arvioimaan omaa sairaalahoitoaan	Lapset
Jyväskylän yliopiston [MASK] jakoi Lea Pulkkisen väitöskirjapalkinnon Tiina Pelanderille viime viikolla Perhetutkimuksen päivillä .	Perhetutkimuskeskus
[MASK] " Hoitotyön laatu − lasten näkökulma " ansioitui lapsen näkökulman valottamisessa .	Väitöskirjatutkimus
[MASK] teki väitöskirjansa Turun yliopiston hoitotieteen laitoksella .	Pelander
[MASK] tarkasteli tutkimuksessaan lasten näkemyksiä hyvästä hoidosta haastattelemalla lapsia , joilla oli kokemuksia sairaalahoidosta .	Hän
[MASK] myös piirsivät toivesairaalan , jossa haluaisivat itseään hoidettavan .	Lapset
[MASK] toivoivat , että hoitajat auttavat , kuuntelevat , tekevät toimenpiteitä ja selittävät , mitä sairaalassa tapahtuu .	Lapset
Erityisesti [MASK] toivoivat , että hoitajat leikkivät ja pelaavat heidän kanssaan .	lapset
Vanhemmiltaan [MASK] odottivat sairaalassa turvallisuutta ja viihdyttämistä .	lapset
[MASK] kertoivat myös , että hyvässä sairaalassa on tekemistä , kavereita ja omaa rauhaa .	Lapset
Palkittu [MASK] osoitti , että lapset pystyvät arvioimaan omaa hoitoaan ja että lasta kuulemalla hoidon laatua voidaan parantaa lapsiystävällisempään suuntaan .	tutkimus
[MASK] Pelander väitteli Turun yliopistossa vuonna 2008 .	Tiina
[MASK] jatkaa tutkimusta hoitotieteen laitoksella .	Pelander
[MASK] löytyy Turun yliopiston Annales Universitatis Turkuensis -sarjan kokoelmista Doria-tietokannasta .	Väitöskirja
[MASK] ei riitä lääkekehitykselle	Keskinkertaisuus
[MASK] on tehnyt pitkän elämäntyönsä ensin Turun yliopiston farmakologian laitoksella ja siirtynyt erilaisiin johtotehtäviin .	Hän
[MASK] keskittyi pohtimaan lääkekehitystoiminnan ja laajemmin bioalan tilaa , sijaa ja merkitystä Suomessa .	Hän
[MASK] pohjusti , että menestyneille suomalaisille bioalan akateemisille ryhmille on ollut ominaista teoreettinen työ , samanaikainen laite- ja menetelmäkehitys sekä kiinnostus tulosten kaupalliseen soveltamiseen .	Santti
[MASK] arvioi , että tutkijoiden nykyinen asema on huono .	Hän
[MASK] kuvaili myös perustutkimusta tekevien roolia menestyksen tavoittelussa .	Santti
[MASK] luonnehti päivänsankarista Risto Lammintaustasta löytyvän juuri niitä ominaisuuksia , joita kaivataan , jos bioalasta halutaan Suomen kansantalouden pelastajaa ja alalla halutaan olla keskinkertaista parempia .	Santti
− Lammintaustan pistämätön [MASK] kertoo , että ilman tahtoon kytkeytyvää vauhtia , voimaa ja ammattitaitoa on vaikeaa saavuttaa keskimääräistä kummempaa .	tavoitteellisuus
Maksuttoman palvelun avulla [MASK] voi arvioida allergiaoireidensa yhteyttä siitepölymääriin .	käyttäjä
Samastakin määrästä siitepölyä eri [MASK] voivat saada eri tavalla allergiaoireita .	ihmiset
[MASK] tuottaa kuvaajan allergiaoireista verrattuna ilman todellisiin siitepölymääriin ja siitä voi itse arvioida , kuinka herkkä on saamaan oireita .	Siitepölypäiväkirja
Esimerkiksi [MASK] voivat täyttää päiväkirjaan lapsensa allergiaoireita , jos lapsella on oma sähköpostiosoite .	vanhemmat
[MASK] löytyy osoitteesta www.pollendiary.com	Siitepölypäiväkirja
Turun [MASK] ja Uuden Teknologian Säätiö valitsivat IKITIK-konsortion vuoden ICT-teoksi .	kauppakamari
- [MASK] on tarttunut tähän ongelmaan ansiokkaasti .	IKITIK-konsortio
[MASK] on pystynyt erinomaisella tavalla yhdistämään usean eri alan osaamista kokonaisuudeksi , joka on tuottanut näkyviä tuloksia sekä perustutkimuksen , soveltavan tutkimuksen , käytännön toiminnan tukemisen , tuotteistamisen että asian julkistamisen ja kansantajuistamisen rintamilla , sanotaan Turun kauppakamarin ja Uuden Teknologian Säätiön palkintoperusteissa .	Se
- [MASK] sisältää nykyisellään muun muassa oikeakielisyyden tarkistimia sekä suoran linkityksen tekstissä käytetyistä sanoista termiselityksiin ja käännöksiin , professori Tapio Salakoski Turun yliopiston informaatioteknologian laitokselta kertoo .	Työkalupaketti
[MASK] tuo konsortioon professori Sanna Salanterän johdolla esimerkiksi tietoa kliinisestä kirjaamisesta ja päätöksenteosta .	Hoitotiede
TUCSin bioinformatiikan [MASK] kehittää professori Salakosken johdolla työkaluja aineistojen analysointiin .	laboratorio
[MASK] ovat osallistuneet yhteistyöhön tukemalla tutkimusta sekä omien tuotekehitysprojektiensa muodossa .	Yritykset
[MASK] ruokapöydän antimiin on lisääntynyt .	Kiinnostus
[MASK] ja julkkisprinsessat kiinnostivat Lasten yliopiston luennoilla	Ritarit
Mitä kuninkaallisten [MASK] maksoivat ?	peruukit
Prinsessan elämän [MASK] kahlitsivat lapsiyleisön mielenkiinnon .	erikoisuudet
Vuoden 2010 Lasten yliopiston [MASK] alkoi lauantaina pikkuopiskelijoiden mielenkiinnon herättäneillä luennoilla kuningattarien ja prinsessojen kohtaloista sekä ritareista .	luentosarja
Suomen historian professori [MASK] Vainio-Korhonen kertoi Julkkisprinsessat-luennolla , millaista oli olla prinsessa ja kuningatar 250 vuotta sitten .	Kirsi
Kuninkaallisten [MASK] herätti Lasten yliopiston tarkkaavaisissa kuulijoissa paljon lisäkysymyksiä .	elämä
Myös unohduksissa oleva [MASK] nousi esille 1700-luvun kuninkaallisten elämää käsitelleellä luennolla .	kirjeenkirjoittamiskulttuuri
[MASK] kirjoittivat joka päivä useita kirjeitä .	Kuninkaalliset
[MASK] tapahtui aidolla sulkakynällä ja musteella , joten se oli hyvin vaativaa ja pikkutarkkaa hommaa , luennoitsija kertoi .	Kirjoittaminen
Yleisen historian yliopistonlehtori [MASK] Heinonen tutustutti lastenyliopistolaiset keskiajan ritareihin .	Meri
[MASK] valotti ritarisotilaiden elämää suhteessa keskiaikaisiin ritaritarinoihin , jotka edelleen elävät osana eurooppalaista tarinaperinnettä .	Heinonen
Myös [MASK] innostivat lapset esittämään kysymyksiä .	ritarit
Lasten yliopiston [MASK] jatkuvat vielä kahtena tulevana lauantaina .	luennot
Äiti- ja isäparkin [MASK] jatkuu niin ikään .	ohjelma
[MASK] kuvasi Anttilan työtä aiheeltaan erittäin haastavaksi ja myös kokeelliselta osuudeltaan hyvin ansiokkaaksi .	Palkintoraati
[MASK] Anttila teki tutkimuksensa Turun yliopiston teollisuusfysiikan laboratoriossa .	Salli
[MASK] on jo vuosia järjestänyt fysiikan harjoitustyökursseja lukiolaisille .	Yliopisto
Niihin osallistuvat [MASK] saavat opintopistehyvityksen kurssista , mikäli tulevat yliopistoon opiskelemaan .	lukiolaiset
Opetusministeri [MASK] Virkkunen ja Akatemian pääjohtaja Markku Mattila palkitsivat voittajat palkintojenjakotilaisuudessa keskiviikkona 7.4 .	Henna
Kilpailun avulla [MASK] haluaa osoittaa nuorille , että tutkijan ammatti voi olla yksi mahdollinen uravaihtoehto .	Akatemia
Viimeiset kaksi vuotta Suomen Moskovan suurlähettiläänä toiminut [MASK] Anttonen esitteli vierailuluennollaan Turun kauppakorkeakoulussa erilaisia näkökulmia nyky-Venäjään ja sen talouteen .	Matti
Sekä Turun yliopistosta että Turun kauppakorkeakoulusta valmistunut suurlähettiläs [MASK] muistutti , että Venäjän läheiset suhteet Eurooppaan eivät ole uusi asia .	Anttonen
[MASK] keskittyi nykyhetkeen ja tulevaisuuteen , mutta muistutti , että vanhan idän ja lännen asetelmat on kaikkiaan syytä unohtaa , kun supervaltojen vastakkainasettelu ei enää määritä maailmaa .	Suurlähettiläs
Maailman suurin öljyn ja kaasun [MASK] on toistaiseksi pysytellyt WTO:n ulkopuolella .	tuottaja
− Venäläisessä keskustelussa [MASK] kuuluu , miksi liittyä WTO:iin .	kysymys
Esimerkiksi ilmastokysymysten suhteen [MASK] tuntuu olevan muun maailman ulkopuolella .	Venäjä
Tämän lisäksi [MASK] mainitsi kehitysyhteistyön , johon Venäjä ei ole sitoutunut mitenkään .	Anttonen
Suurlähettiläs [MASK] korosti , että vaikka Venäjä nähdään helposti vain suurena raaka-aineiden tuottajamaana , on se itse asiassa normaali palveluyhteiskunta .	Anttonen
[MASK] tarvitsee esimerkiksi pankkeja ja vakuutusyhtiöitä sekä tietotaitoa , joiden on sijaittava Venäjällä .	Vähittäiskauppa
[MASK] arvioi tiistaina , että Venäjän talouden modernisoituminen on todellinen seuraava askel , vaikka viimevuotinen tullisopimus Ukrainan ja Kazakstanin kanssa hidastaa kehitystä .	Anttonen
Suomen ja Venäjän kahdenvälisten suhteiden osalta [MASK] teilasi puheet , joiden mukaan suomalaiset ovat unohtaneet Venäjän .	Anttonen
[MASK] kehui alueellisen yhteistyön Suomen ja Venäjän lähialueiden välillä olevan monessa mielessä esimerkillistä .	Suurlähettiläs
− Muut [MASK] voisivatkin hyvin ottaa yhteistyöstä mallia suhteissaan omiin itänaapureihinsa .	EU-maat
Moskovan [MASK] luennoi Turussa tiistaina 6.4. osana Turun kauppakorkeakoulun kansainvälisen liiketoiminnan The Development of EU-Russia Economic Relations -intensiivikurssia .	suurlähettiläs
[MASK] muistutti kuulijoille , että Venäjän markkinat ovat tärkeitä suomalaisille alueellisille palvelusektorin brandeille .	Anttonen
[MASK] näkyy oikeuskäytännössä	Horisontaalisuus
EU-tuomioistuimen tuomari [MASK] Rosas luennoi keskiviikkona 31.3. oikeustieteellisen tiedekunnan järjestämässä seminaarissa Euroopan unionin perusoikeuksien horisontaalivaikutuksista EU-tuomioistuimen oikeuskäytännön valossa .	Allan
Perustuslakien [MASK] ja kansainväliset ihmisoikeudet määrittelevät ensisijaisesti julkisen vallan ja yksityisten henkilöiden välisiä vertikaalisia suhteita .	perusoikeudet
[MASK] näkyvät kolmella tasolla .	Horisontaalivaikutukset
- Esimerkiksi riidan toinen [MASK] voi väittää , että jokin asia - kansallinen laki , kielto tai normi - on EU-oikeuden vastainen ja siksi sitä ei voida noudattaa .	osapuoli
Julkinen [MASK] vastaa tilanteeseen joko tekemällä tai olemalla tekemättä asialle jotain , Rosas selitti .	valta
[MASK] tulee näkyviin usein jäsenvaltioissa , kansallisissa tuomioistuimissa .	Horisontaalivaikutus
- Myös sellaiset [MASK] kuin mielenosoitusvapaus , kokoontumisvapaus ja sananvapaus , jotka kumpuavat EU:n ihmisoikeussopimuksesta , puhuttavat paljon , Rosas kertoi .	asiat
[MASK] uskoo , että horisontaalikehitys tulee jatkumaan tulevaisuudessa ja näkymään erityisesti yksityisten välisissä riidoissa .	Rosas
Talouden [MASK] näkyy Etelä-Suomen logistiikkayritysten suhdannekyselyn tuloksissa .	käänne
Valtaosalla yrityksistä [MASK] on heikentynyt viimeisen vuoden aikana .	kysyntä
Logistiikan toimialoista lentoliikenteen [MASK] näkevät kysynnän elpymisen jonkin verran muita voimakkaampana .	yritykset
[MASK] laskeneeseen kysyntään on aiheuttanut henkilöstömäärän vähentämistä lähes kolmasosassa vastanneista yrityksistä .	Sopeutuminen
